https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1561593600000,2019-06-27 0:00:00,ADA/USDT,0.09782,0.09954,0.08348,0.0864,312714744.9,28296111.53,73377
1561507200000,2019-06-26 0:00:00,ADA/USDT,0.09655,0.10687,0.0951,0.09814,475065799.9,47666035.13,100408
1561420800000,2019-06-25 0:00:00,ADA/USDT,0.09787,0.09831,0.09352,0.09654,138542267.8,13283141.61,31937
1561334400000,2019-06-24 0:00:00,ADA/USDT,0.09689,0.09959,0.09412,0.09789,173987144.3,16810140.13,36386
1561248000000,2019-06-23 0:00:00,ADA/USDT,0.09481,0.10379,0.09441,0.097,379257248.6,37293300.98,69956
1561161600000,2019-06-22 0:00:00,ADA/USDT,0.0891,0.0977,0.08811,0.09482,305334916.9,28462098.77,66474
1561075200000,2019-06-21 0:00:00,ADA/USDT,0.08731,0.0908,0.08719,0.08899,142175951.7,12713222.45,30844
1560988800000,2019-06-20 0:00:00,ADA/USDT,0.08956,0.0903,0.08507,0.08731,119567386.4,10458767.28,26284
1560902400000,2019-06-19 0:00:00,ADA/USDT,0.08916,0.09158,0.08843,0.08957,61372709,5512804.305,15008
1560816000000,2019-06-18 0:00:00,ADA/USDT,0.09341,0.09365,0.0881,0.08907,100161281.2,9034879.282,21303
1560729600000,2019-06-17 0:00:00,ADA/USDT,0.09189,0.09365,0.09108,0.09334,85012338.9,7855781.798,21728
1560643200000,2019-06-16 0:00:00,ADA/USDT,0.09118,0.09402,0.08966,0.09189,175792960,16137992.89,35151
1560556800000,2019-06-15 0:00:00,ADA/USDT,0.09,0.0926,0.0897,0.09127,114850102.6,10459812.63,23667
1560470400000,2019-06-14 0:00:00,ADA/USDT,0.08956,0.09095,0.085,0.09008,188544474.4,16558151.3,36374
1560384000000,2019-06-13 0:00:00,ADA/USDT,0.09603,0.0966,0.08796,0.08966,237448920.5,21851980.27,46273
